Index,Hogwarts House
0,??
1,Ravenclaw
2,Hufflepuff
3,??
4,??
5,??
6,Ravenclaw
7,??
8,Ravenclaw
9,??
10,??
11,??
12,Slytherin
13,??
14,??
15,??
16,Ravenclaw
17,??
18,Ravenclaw
19,??
20,??
21,??
22,Ravenclaw
23,Ravenclaw
24,??
25,??
26,Ravenclaw
27,??
28,Slytherin
29,Ravenclaw
30,??
31,??
32,Hufflepuff
33,??
34,??
35,Ravenclaw
36,Hufflepuff
37,Ravenclaw
38,??
39,Ravenclaw
40,Ravenclaw
41,??
42,??
43,??
44,??
45,Ravenclaw
46,??
47,Hufflepuff
48,Ravenclaw
49,??
50,Ravenclaw
51,??
52,Ravenclaw
53,Ravenclaw
54,??
55,??
56,??
57,Ravenclaw
58,??
59,Hufflepuff
60,Slytherin
61,Hufflepuff
62,??
63,??
64,Ravenclaw
65,??
66,??
67,Ravenclaw
68,??
69,Ravenclaw
70,??
71,??
72,Hufflepuff
73,Ravenclaw
74,??
75,??
76,??
77,Slytherin
78,??
79,??
80,Ravenclaw
81,??
82,??
83,Hufflepuff
84,??
85,??
86,??
87,??
88,Ravenclaw
89,Ravenclaw
90,??
91,??
92,Hufflepuff
93,??
94,Ravenclaw
95,Ravenclaw
96,Hufflepuff
97,??
98,??
99,Ravenclaw
100,??
101,??
102,??
103,??
104,Ravenclaw
105,??
106,??
107,??
108,??
109,??
110,??
111,??
112,Ravenclaw
113,Ravenclaw
114,??
115,Ravenclaw
116,??
117,??
118,??
119,Ravenclaw
120,Hufflepuff
121,??
122,Slytherin
123,??
124,Ravenclaw
125,Ravenclaw
126,??
127,Ravenclaw
128,??
129,Ravenclaw
130,Ravenclaw
131,Ravenclaw
132,Ravenclaw
133,??
134,??
135,Ravenclaw
136,Ravenclaw
137,??
138,Slytherin
139,??
140,??
141,Ravenclaw
142,??
143,Ravenclaw
144,Hufflepuff
145,Ravenclaw
146,??
147,??
148,??
149,??
150,??
151,Hufflepuff
152,Slytherin
153,Ravenclaw
154,Ravenclaw
155,Ravenclaw
156,??
157,??
158,Ravenclaw
159,??
160,Ravenclaw
161,??
162,??
163,??
164,Ravenclaw
165,??
166,??
167,??
168,??
169,??
170,Hufflepuff
171,??
172,??
173,??
174,??
175,Ravenclaw
176,??
177,??
178,??
179,??
180,Ravenclaw
181,??
182,Hufflepuff
183,??
184,Hufflepuff
185,Ravenclaw
186,??
187,Ravenclaw
188,??
189,??
190,Ravenclaw
191,Hufflepuff
192,Hufflepuff
193,Ravenclaw
194,Ravenclaw
195,??
196,Ravenclaw
197,??
198,??
199,Hufflepuff
200,Ravenclaw
201,??
202,Ravenclaw
203,??
204,Hufflepuff
205,??
206,Ravenclaw
207,??
208,Ravenclaw
209,??
210,Slytherin
211,??
212,??
213,Ravenclaw
214,??
215,??
216,??
217,??
218,Hufflepuff
219,Hufflepuff
220,Ravenclaw
221,Hufflepuff
222,??
223,??
224,Hufflepuff
225,Ravenclaw
226,Ravenclaw
227,Ravenclaw
228,??
229,??
230,Ravenclaw
231,??
232,??
233,Ravenclaw
234,??
235,??
236,??
237,??
238,Hufflepuff
239,??
240,??
241,Ravenclaw
242,??
243,??
244,Hufflepuff
245,Ravenclaw
246,Ravenclaw
247,Ravenclaw
248,??
249,??
250,??
251,??
252,??
253,??
254,??
255,Ravenclaw
256,??
257,Ravenclaw
258,Ravenclaw
259,Ravenclaw
260,??
261,Ravenclaw
262,Ravenclaw
263,??
264,??
265,Ravenclaw
266,??
267,??
268,??
269,Ravenclaw
270,??
271,??
272,Ravenclaw
273,Hufflepuff
274,Ravenclaw
275,??
276,??
277,Hufflepuff
278,Hufflepuff
279,??
280,??
281,??
282,??
283,Ravenclaw
284,??
285,Ravenclaw
286,??
287,??
288,Hufflepuff
289,Ravenclaw
290,Ravenclaw
291,Slytherin
292,Ravenclaw
293,??
294,??
295,??
296,??
297,??
298,??
299,??
300,??
301,??
302,??
303,??
304,??
305,??
306,??
307,Ravenclaw
308,??
309,??
310,??
311,??
312,??
313,Hufflepuff
314,Ravenclaw
315,??
316,Ravenclaw
317,??
318,??
319,??
320,??
321,Ravenclaw
322,Ravenclaw
323,??
324,Ravenclaw
325,??
326,Ravenclaw
327,??
328,??
329,Slytherin
330,Ravenclaw
331,??
332,??
333,Ravenclaw
334,Ravenclaw
335,??
336,Ravenclaw
337,??
338,??
339,??
340,??
341,??
342,Ravenclaw
343,Ravenclaw
344,??
345,??
346,??
347,Ravenclaw
348,Ravenclaw
349,??
350,??
351,Ravenclaw
352,??
353,Ravenclaw
354,??
355,??
356,??
357,??
358,Hufflepuff
359,??
360,Ravenclaw
361,Ravenclaw
362,Ravenclaw
363,Ravenclaw
364,??
365,Hufflepuff
366,??
367,??
368,Hufflepuff
369,??
370,??
371,Hufflepuff
372,Hufflepuff
373,Ravenclaw
374,??
375,??
376,Ravenclaw
377,??
378,??
379,??
380,Hufflepuff
381,??
382,Hufflepuff
383,Slytherin
384,Slytherin
385,Ravenclaw
386,Ravenclaw
387,Ravenclaw
388,??
389,Ravenclaw
390,??
391,??
392,??
393,??
394,Ravenclaw
395,??
396,??
397,??
398,Ravenclaw
399,??
